study,treat,season,harvest_year,location,state,country,elevation,region,elevation_class,inc_check,inc_class,yld_check,yld_class,inc,scl,yld
10,2,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,43.7,high,1833,low,38.2,481,2366
10,3,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,43.7,high,1833,low,28.1,421,2444
10,4,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,43.7,high,1833,low,14.1,160,2412
10,5,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,43.7,high,1833,low,21.9,180,2366
10,6,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,43.7,high,1833,low,14.7,20,2250
10,7,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,43.7,high,1833,low,17.2,80,2224
10,8,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,43.7,high,1833,low,17.2,20,2268
10,11,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,43.7,high,1833,low,21.9,100,2303
10,12,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,43.7,high,1833,low,14.1,140,2514
19,1,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,31.2,low,1706,low,31.2,480,1706
19,2,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,31.2,low,1706,low,21.9,40,1965
19,3,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,31.2,low,1706,low,14.1,20,2199
19,4,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,31.2,low,1706,low,17.2,40,2187
19,5,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,31.2,low,1706,low,12.5,40,2235
19,6,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,31.2,low,1706,low,19.1,20,1942
19,7,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,31.2,low,1706,low,15.6,340,2116
19,8,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,31.2,low,1706,low,18.7,80,2148
19,9,2009/2010,2010,Campo Verde,MT,Brazil,985,Northern ,high,31.2,low,1706,low,25,260,1883
33,1,2011/2012,2012,Chapadao do Sul,MS,Brazil,813,Northern ,low,67.5,high,2646,high,67.5,NA,2646
33,2,2011/2012,2012,Chapadao do Sul,MS,Brazil,813,Northern ,low,67.5,high,2646,high,15,NA,2977
33,3,2011/2012,2012,Chapadao do Sul,MS,Brazil,813,Northern ,low,67.5,high,2646,high,13.8,NA,3453
33,4,2011/2012,2012,Chapadao do Sul,MS,Brazil,813,Northern ,low,67.5,high,2646,high,23.8,NA,3622
33,5,2011/2012,2012,Chapadao do Sul,MS,Brazil,813,Northern ,low,67.5,high,2646,high,11.3,NA,3470
33,6,2011/2012,2012,Chapadao do Sul,MS,Brazil,813,Northern ,low,67.5,high,2646,high,8.8,NA,3033
33,7,2011/2012,2012,Chapadao do Sul,MS,Brazil,813,Northern ,low,67.5,high,2646,high,6.3,NA,2770
33,8,2011/2012,2012,Chapadao do Sul,MS,Brazil,813,Northern ,low,67.5,high,2646,high,7.5,NA,2958
33,9,2011/2012,2012,Chapadao do Sul,MS,Brazil,813,Northern ,low,67.5,high,2646,high,3.8,NA,3119
33,10,2011/2012,2012,Chapadao do Sul,MS,Brazil,813,Northern ,low,67.5,high,2646,high,2.5,NA,2976
33,11,2011/2012,2012,Chapadao do Sul,MS,Brazil,813,Northern ,low,67.5,high,2646,high,31.7,NA,2994
31,1,2011/2012,2012,Goianira,GO,Brazil,737,Northern ,low,34.7,low,2786,high,34.7,3618,2786
31,2,2011/2012,2012,Goianira,GO,Brazil,737,Northern ,low,34.7,low,2786,high,25,2774,2770
31,3,2011/2012,2012,Goianira,GO,Brazil,737,Northern ,low,34.7,low,2786,high,16.4,351,3128
31,4,2011/2012,2012,Goianira,GO,Brazil,737,Northern ,low,34.7,low,2786,high,15.9,2308,3445
31,5,2011/2012,2012,Goianira,GO,Brazil,737,Northern ,low,34.7,low,2786,high,7.1,278,3400
31,6,2011/2012,2012,Goianira,GO,Brazil,737,Northern ,low,34.7,low,2786,high,10.8,24,3704
31,7,2011/2012,2012,Goianira,GO,Brazil,737,Northern ,low,34.7,low,2786,high,12.8,910,3467
31,8,2011/2012,2012,Goianira,GO,Brazil,737,Northern ,low,34.7,low,2786,high,13.5,306,3401
31,9,2011/2012,2012,Goianira,GO,Brazil,737,Northern ,low,34.7,low,2786,high,13.4,639,3648
31,10,2011/2012,2012,Goianira,GO,Brazil,737,Northern ,low,34.7,low,2786,high,14.5,1123,3690
31,11,2011/2012,2012,Goianira,GO,Brazil,737,Northern ,low,34.7,low,2786,high,26.9,2091,2871
29,1,2010/2011,2011,Marilandia do Sul,PR,Brazil,868,Southern,low,15.4,low,2725,high,15.4,5700,2725
29,2,2010/2011,2011,Marilandia do Sul,PR,Brazil,868,Southern,low,15.4,low,2725,high,11.2,3100,2604
29,3,2010/2011,2011,Marilandia do Sul,PR,Brazil,868,Southern,low,15.4,low,2725,high,6.1,2360,2902
29,4,2010/2011,2011,Marilandia do Sul,PR,Brazil,868,Southern,low,15.4,low,2725,high,10,1760,2648
29,5,2010/2011,2011,Marilandia do Sul,PR,Brazil,868,Southern,low,15.4,low,2725,high,5.4,2060,2652
29,6,2010/2011,2011,Marilandia do Sul,PR,Brazil,868,Southern,low,15.4,low,2725,high,2.4,800,2667
29,7,2010/2011,2011,Marilandia do Sul,PR,Brazil,868,Southern,low,15.4,low,2725,high,3.4,1100,2665
29,8,2010/2011,2011,Marilandia do Sul,PR,Brazil,868,Southern,low,15.4,low,2725,high,11,2800,2725
29,9,2010/2011,2011,Marilandia do Sul,PR,Brazil,868,Southern,low,15.4,low,2725,high,0,660,3392
29,10,2010/2011,2011,Marilandia do Sul,PR,Brazil,868,Southern,low,15.4,low,2725,high,2.1,700,2982
5,1,2008/2009,2009,Maua da Serra,PR,Brazil,1029,Southern,high,69,high,1893,low,69,6216,1893
5,2,2008/2009,2009,Maua da Serra,PR,Brazil,1029,Southern,high,69,high,1893,low,39,2888,2451
5,3,2008/2009,2009,Maua da Serra,PR,Brazil,1029,Southern,high,69,high,1893,low,41,2272,2232
5,4,2008/2009,2009,Maua da Serra,PR,Brazil,1029,Southern,high,69,high,1893,low,39,2868,2609
5,5,2008/2009,2009,Maua da Serra,PR,Brazil,1029,Southern,high,69,high,1893,low,40,2412,2383
5,6,2008/2009,2009,Maua da Serra,PR,Brazil,1029,Southern,high,69,high,1893,low,40,2372,2480
5,7,2008/2009,2009,Maua da Serra,PR,Brazil,1029,Southern,high,69,high,1893,low,44,3424,2577
5,8,2008/2009,2009,Maua da Serra,PR,Brazil,1029,Southern,high,69,high,1893,low,43,1744,2367
5,9,2008/2009,2009,Maua da Serra,PR,Brazil,1029,Southern,high,69,high,1893,low,26,1456,2769
5,10,2008/2009,2009,Maua da Serra,PR,Brazil,1029,Southern,high,69,high,1893,low,29,1732,2907
5,11,2008/2009,2009,Maua da Serra,PR,Brazil,1029,Southern,high,69,high,1893,low,30,1080,2298
5,12,2008/2009,2009,Maua da Serra,PR,Brazil,1029,Southern,high,69,high,1893,low,34,1592,2976
5,13,2008/2009,2009,Maua da Serra,PR,Brazil,1029,Southern,high,69,high,1893,low,44,3268,2200
14,1,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,40.6,high,1941,low,40.6,2606,1941
14,2,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,40.6,high,1941,low,24.3,1503,2322
14,3,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,40.6,high,1941,low,20.3,1082,2211
14,4,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,40.6,high,1941,low,15.6,702,2627
14,5,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,40.6,high,1941,low,17.5,621,2327
14,6,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,40.6,high,1941,low,17.2,381,2470
14,7,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,40.6,high,1941,low,9.4,501,2324
14,8,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,40.6,high,1941,low,8.1,381,2777
14,9,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,40.6,high,1941,low,10.9,241,2899
14,10,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,40.6,high,1941,low,7.5,261,2334
14,11,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,40.6,high,1941,low,26.9,1062,2937
14,12,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,40.6,high,1941,low,26.6,1042,2088
21,1,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,33.4,low,2196,low,33.4,2160,2196
21,2,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,33.4,low,2196,low,21.9,1260,2734
21,3,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,33.4,low,2196,low,20.3,1160,2690
21,4,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,33.4,low,2196,low,18.4,920,2549
21,5,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,33.4,low,2196,low,13.1,600,2897
21,6,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,33.4,low,2196,low,15,1100,2831
21,7,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,33.4,low,2196,low,11.6,400,2792
21,8,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,33.4,low,2196,low,22.5,820,2620
21,9,2009/2010,2010,Maua da Serra,PR,Brazil,909,Southern,low,33.4,low,2196,low,20.9,1600,2409
1,1,2008/2009,2009,Montividiu,GO,Brazil,921,Northern ,low,76,high,2265,low,76,2194,2265
1,2,2008/2009,2009,Montividiu,GO,Brazil,921,Northern ,low,76,high,2265,low,53,1663,2618
1,3,2008/2009,2009,Montividiu,GO,Brazil,921,Northern ,low,76,high,2265,low,42,1313,2554
1,4,2008/2009,2009,Montividiu,GO,Brazil,921,Northern ,low,76,high,2265,low,37,1177,2632
1,5,2008/2009,2009,Montividiu,GO,Brazil,921,Northern ,low,76,high,2265,low,29,753,2820
1,6,2008/2009,2009,Montividiu,GO,Brazil,921,Northern ,low,76,high,2265,low,42,1343,2799
1,7,2008/2009,2009,Montividiu,GO,Brazil,921,Northern ,low,76,high,2265,low,55,1519,2503
1,8,2008/2009,2009,Montividiu,GO,Brazil,921,Northern ,low,76,high,2265,low,40,516,2967
1,9,2008/2009,2009,Montividiu,GO,Brazil,921,Northern ,low,76,high,2265,low,26,643,2965
1,10,2008/2009,2009,Montividiu,GO,Brazil,921,Northern ,low,76,high,2265,low,18,400,3088
1,11,2008/2009,2009,Montividiu,GO,Brazil,921,Northern ,low,76,high,2265,low,27,643,3044
1,12,2008/2009,2009,Montividiu,GO,Brazil,921,Northern ,low,76,high,2265,low,28,921,2925
1,13,2008/2009,2009,Montividiu,GO,Brazil,921,Northern ,low,76,high,2265,low,36,1196,2867
7,1,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,90.3,high,2460,low,90.3,2225,2460
7,2,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,90.3,high,2460,low,79.1,822,3011
7,3,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,90.3,high,2460,low,81.9,541,3001
7,4,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,90.3,high,2460,low,66.9,842,3053
7,5,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,90.3,high,2460,low,54.1,601,3370
7,6,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,90.3,high,2460,low,42.2,541,3430
7,7,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,90.3,high,2460,low,74.7,541,3106
7,8,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,90.3,high,2460,low,68.1,641,3359
7,9,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,90.3,high,2460,low,75.9,341,3113
7,10,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,90.3,high,2460,low,62.1,401,3352
7,11,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,90.3,high,2460,low,83.1,1123,2930
7,12,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,90.3,high,2460,low,73.1,822,2974
15,1,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,74.7,high,2511,low,74.7,1503,2511
15,2,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,74.7,high,2511,low,42.8,802,2912
15,3,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,74.7,high,2511,low,19.4,501,3262
15,4,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,74.7,high,2511,low,41.6,461,3155
15,5,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,74.7,high,2511,low,40,421,3296
15,6,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,74.7,high,2511,low,54.1,441,2968
15,7,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,74.7,high,2511,low,40,441,3239
15,8,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,74.7,high,2511,low,44,261,3029
15,9,2009/2010,2010,Montividiu,GO,Brazil,921,Northern ,low,74.7,high,2511,low,54.1,942,2921
24,1,2010/2011,2011,Montividiu,GO,Brazil,921,Northern ,low,43.1,high,3013,high,43.1,2926,3013
24,2,2010/2011,2011,Montividiu,GO,Brazil,921,Northern ,low,43.1,high,3013,high,43.1,1236,3182
24,3,2010/2011,2011,Montividiu,GO,Brazil,921,Northern ,low,43.1,high,3013,high,26.9,812,3412
24,4,2010/2011,2011,Montividiu,GO,Brazil,921,Northern ,low,43.1,high,3013,high,24.4,1066,3216
24,5,2010/2011,2011,Montividiu,GO,Brazil,921,Northern ,low,43.1,high,3013,high,25,462,3319
24,6,2010/2011,2011,Montividiu,GO,Brazil,921,Northern ,low,43.1,high,3013,high,11.9,430,3566
24,7,2010/2011,2011,Montividiu,GO,Brazil,921,Northern ,low,43.1,high,3013,high,3.1,182,3706
24,8,2010/2011,2011,Montividiu,GO,Brazil,921,Northern ,low,43.1,high,3013,high,5.8,254,3664
24,9,2010/2011,2011,Montividiu,GO,Brazil,921,Northern ,low,43.1,high,3013,high,5.3,188,3622
24,10,2010/2011,2011,Montividiu,GO,Brazil,921,Northern ,low,43.1,high,3013,high,9.7,254,3506
6,1,2008/2009,2009,Nova Ponte,MG,Brazil,999,Northern ,high,21,low,2476,low,21,8500,2476
6,2,2008/2009,2009,Nova Ponte,MG,Brazil,999,Northern ,high,21,low,2476,low,8,5833,2295
6,3,2008/2009,2009,Nova Ponte,MG,Brazil,999,Northern ,high,21,low,2476,low,18,9000,2659
6,4,2008/2009,2009,Nova Ponte,MG,Brazil,999,Northern ,high,21,low,2476,low,13,7167,2718
6,5,2008/2009,2009,Nova Ponte,MG,Brazil,999,Northern ,high,21,low,2476,low,17,7000,2439
6,6,2008/2009,2009,Nova Ponte,MG,Brazil,999,Northern ,high,21,low,2476,low,16,11000,2450
6,7,2008/2009,2009,Nova Ponte,MG,Brazil,999,Northern ,high,21,low,2476,low,16,7667,2505
6,8,2008/2009,2009,Nova Ponte,MG,Brazil,999,Northern ,high,21,low,2476,low,9,3000,2576
6,9,2008/2009,2009,Nova Ponte,MG,Brazil,999,Northern ,high,21,low,2476,low,7,3000,2585
6,10,2008/2009,2009,Nova Ponte,MG,Brazil,999,Northern ,high,21,low,2476,low,5,5000,2453
6,11,2008/2009,2009,Nova Ponte,MG,Brazil,999,Northern ,high,21,low,2476,low,5,2833,2631
6,12,2008/2009,2009,Nova Ponte,MG,Brazil,999,Northern ,high,21,low,2476,low,8,3117,2301
6,13,2008/2009,2009,Nova Ponte,MG,Brazil,999,Northern ,high,21,low,2476,low,13,5667,2576
11,1,2009/2010,2010,Nova Ponte,MG,Brazil,1005,Northern ,high,16.5,low,2940,high,16.5,1804,2940
11,2,2009/2010,2010,Nova Ponte,MG,Brazil,1005,Northern ,high,16.5,low,2940,high,9.8,2646,3008
11,3,2009/2010,2010,Nova Ponte,MG,Brazil,1005,Northern ,high,16.5,low,2940,high,3.1,1544,3273
11,4,2009/2010,2010,Nova Ponte,MG,Brazil,1005,Northern ,high,16.5,low,2940,high,7.8,1704,3013
11,5,2009/2010,2010,Nova Ponte,MG,Brazil,1005,Northern ,high,16.5,low,2940,high,4,2245,3207
11,6,2009/2010,2010,Nova Ponte,MG,Brazil,1005,Northern ,high,16.5,low,2940,high,2.9,601,3185
11,7,2009/2010,2010,Nova Ponte,MG,Brazil,1005,Northern ,high,16.5,low,2940,high,0.4,261,3169
11,8,2009/2010,2010,Nova Ponte,MG,Brazil,1005,Northern ,high,16.5,low,2940,high,0.6,341,3116
11,9,2009/2010,2010,Nova Ponte,MG,Brazil,1005,Northern ,high,16.5,low,2940,high,0.3,301,3058
11,10,2009/2010,2010,Nova Ponte,MG,Brazil,1005,Northern ,high,16.5,low,2940,high,0,381,3427
11,11,2009/2010,2010,Nova Ponte,MG,Brazil,1005,Northern ,high,16.5,low,2940,high,1.6,1042,3461
11,12,2009/2010,2010,Nova Ponte,MG,Brazil,1005,Northern ,high,16.5,low,2940,high,6.2,2947,3577
35,1,2011/2012,2012,Palmeira ,PR,Brazil,820,Northern ,low,55,high,1451,low,55,NA,1451
35,2,2011/2012,2012,Palmeira ,PR,Brazil,820,Northern ,low,55,high,1451,low,33.8,NA,1485
35,3,2011/2012,2012,Palmeira ,PR,Brazil,820,Northern ,low,55,high,1451,low,15,NA,1728
35,4,2011/2012,2012,Palmeira ,PR,Brazil,820,Northern ,low,55,high,1451,low,11.3,NA,1659
35,5,2011/2012,2012,Palmeira ,PR,Brazil,820,Northern ,low,55,high,1451,low,7.5,NA,1729
35,6,2011/2012,2012,Palmeira ,PR,Brazil,820,Northern ,low,55,high,1451,low,6.3,NA,1941
35,7,2011/2012,2012,Palmeira ,PR,Brazil,820,Northern ,low,55,high,1451,low,18.8,NA,1504
35,8,2011/2012,2012,Palmeira ,PR,Brazil,820,Northern ,low,55,high,1451,low,12.5,NA,1625
35,9,2011/2012,2012,Palmeira ,PR,Brazil,820,Northern ,low,55,high,1451,low,13.8,NA,1667
35,11,2011/2012,2012,Palmeira ,PR,Brazil,820,Northern ,low,55,high,1451,low,12.5,NA,1526
13,1,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,65,high,3490,high,65,NA,3490
13,2,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,65,high,3490,high,20,NA,4806
13,3,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,65,high,3490,high,9,NA,4623
13,4,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,65,high,3490,high,12.5,NA,3960
13,5,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,65,high,3490,high,7.5,NA,4908
13,6,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,65,high,3490,high,8.5,NA,4560
13,7,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,65,high,3490,high,1.5,NA,4227
13,8,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,65,high,3490,high,7.5,NA,3739
13,9,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,65,high,3490,high,1.5,NA,4394
13,10,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,65,high,3490,high,5,NA,4823
13,11,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,65,high,3490,high,10,NA,4290
13,12,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,65,high,3490,high,3,NA,4739
23,1,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,40,high,4056,high,40,NA,4056
23,2,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,40,high,4056,high,11.5,NA,4537
23,3,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,40,high,4056,high,4.5,NA,4796
23,4,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,40,high,4056,high,12.5,NA,4404
23,5,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,40,high,4056,high,13,NA,4806
23,6,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,40,high,4056,high,9,NA,4448
23,7,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,40,high,4056,high,19,NA,4725
23,8,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,40,high,4056,high,6,NA,4440
23,9,2009/2010,2010,Pilar do Sul,SP,Brazil,800,Southern,low,40,high,4056,high,8.2,NA,4490
4,1,2008/2009,2009,Ponta Grossa,PR,Brazil,1021,Southern,high,17,low,1986,low,17,NA,1986
4,2,2008/2009,2009,Ponta Grossa,PR,Brazil,1021,Southern,high,17,low,1986,low,8,NA,2468
4,3,2008/2009,2009,Ponta Grossa,PR,Brazil,1021,Southern,high,17,low,1986,low,9,NA,2349
4,4,2008/2009,2009,Ponta Grossa,PR,Brazil,1021,Southern,high,17,low,1986,low,9,NA,2350
4,5,2008/2009,2009,Ponta Grossa,PR,Brazil,1021,Southern,high,17,low,1986,low,9,NA,2513
4,6,2008/2009,2009,Ponta Grossa,PR,Brazil,1021,Southern,high,17,low,1986,low,8,NA,2660
4,7,2008/2009,2009,Ponta Grossa,PR,Brazil,1021,Southern,high,17,low,1986,low,12,NA,2499
4,8,2008/2009,2009,Ponta Grossa,PR,Brazil,1021,Southern,high,17,low,1986,low,6,NA,2476
4,9,2008/2009,2009,Ponta Grossa,PR,Brazil,1021,Southern,high,17,low,1986,low,6,NA,2572
4,10,2008/2009,2009,Ponta Grossa,PR,Brazil,1021,Southern,high,17,low,1986,low,6,NA,2481
4,11,2008/2009,2009,Ponta Grossa,PR,Brazil,1021,Southern,high,17,low,1986,low,7,NA,2325
4,12,2008/2009,2009,Ponta Grossa,PR,Brazil,1021,Southern,high,17,low,1986,low,6,NA,2904
4,13,2008/2009,2009,Ponta Grossa,PR,Brazil,1021,Southern,high,17,low,1986,low,7,NA,2220
22,1,2009/2010,2010,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3779.3,high,64.5,6940,3779.3
22,2,2009/2010,2010,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3779.3,high,0.2,180,4665.1
22,3,2009/2010,2010,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3779.3,high,5.1,0,4412.1
22,4,2009/2010,2010,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3779.3,high,1.2,100,4877.1
22,5,2009/2010,2010,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3779.3,high,0.6,200,4906.3
22,6,2009/2010,2010,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3779.3,high,2.4,40,4705.4
22,7,2009/2010,2010,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3779.3,high,0,0,4725.3
22,8,2009/2010,2010,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3779.3,high,0.5,240,4455.1
22,9,2009/2010,2010,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3779.3,high,5,300,4395.2
28,1,2010/2011,2011,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3652,high,64.5,9380,3652
28,2,2010/2011,2011,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3652,high,51.3,5980,3687
28,3,2010/2011,2011,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3652,high,46.3,5120,3727
28,4,2010/2011,2011,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3652,high,54.5,4290,3714
28,5,2010/2011,2011,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3652,high,42.5,6060,4013
28,6,2010/2011,2011,Ponta Grossa,PR,Brazil,1021,Southern,high,64.5,high,3652,high,9.3,900,4403
